"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 16:31:58 BDT 2023","Thu Jul 13 16:32:10 BDT 2023","12273","Suite","Test","testcases.BlogPageTestCase","testcases.BlogPageTestCase","vlog6TittleUrlVerify","vlog6TittleUrlVerify",""
"passed","Thu Jul 13 16:38:16 BDT 2023","Thu Jul 13 16:38:23 BDT 2023","7441","Suite","Test","testcases.RegisterTestCases","testcases.RegisterTestCases","registerPageSigninButtonTest","registerPageSigninButtonTest",""
"passed","Thu Jul 13 16:37:14 BDT 2023","Thu Jul 13 16:37:30 BDT 2023","15852","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","personalSummarySegguestion","personalSummarySegguestion",""
"failed","Thu Jul 13 12:33:54 BDT 2023","Thu Jul 13 12:34:00 BDT 2023","5743","Suite","Test","testcases.DashboardProfilePageTestCases","testcases.DashboardProfilePageTestCases","personalInfoDesignationandMaillingAddressVeridy","personalInfoDesignationandMaillingAddressVeridy",""
"passed","Thu Jul 13 16:21:46 BDT 2023","Thu Jul 13 16:22:06 BDT 2023","19812","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","footerCreateAccountButtonTest","footerCreateAccountButtonTest",""
"passed","Thu Jul 13 16:29:23 BDT 2023","Thu Jul 13 16:29:28 BDT 2023","5709","Suite","Test","testcases.TermConditionTestCases","testcases.TermConditionTestCases","CorrectionsTittleVerify","CorrectionsTittleVerify",""
"passed","Thu Jul 13 16:21:07 BDT 2023","Thu Jul 13 16:21:21 BDT 2023","13995","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","faqSeeMoreButtonTest","faqSeeMoreButtonTest",""
"passed","Thu Jul 13 16:26:19 BDT 2023","Thu Jul 13 16:26:25 BDT 2023","5562","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","landingPageNavTemplateButtonTest","landingPageNavTemplateButtonTest",""
"passed","Thu Jul 13 16:35:55 BDT 2023","Thu Jul 13 16:36:10 BDT 2023","15364","Suite","Test","testcases.FaqPageTestCases","testcases.FaqPageTestCases","faqPageQuest9QuestAnswerVerify","faqPageQuest9QuestAnswerVerify",""
"passed","Thu Jul 13 16:27:56 BDT 2023","Thu Jul 13 16:28:12 BDT 2023","16284","Suite","Test","testcases.LandingTestCases","testcases.LandingTestCases","loginUserCreateFreeCvButtonFromMiddlePageTest","loginUserCreateFreeCvButtonFromMiddlePageTest",""
